Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.370478368790191,0.583159396303378,0.778884925078813,0,0,0,291.316821187067,13.467881572111,-2.10232843910697E-06,-4.4908131032371,52.3251444861663,-4.43266645089372E-07,50.7271251860955,0,0,0,0,0,0,package://perimeter/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://perimeter/meshes/base_link.STL,,chassis-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_right,0.00333943257911057,-5.58111066140121E-07,7.60469063076918E-06,0,0,0,0.998198869339888,0.0202640722198126,1.0568191611957E-08,-5.11367019064742E-08,0.010849203070501,-9.77905050912999E-08,0.010849203577201,0,0,0,0,0,0,package://perimeter/meshes/front_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://perimeter/meshes/front_right.STL,,12'' Scooter Wheel-6,Origin_front_right_joint,Axis_front_right_joint,front_right_joint,fixed,0.814986094508032,-0.706424753228115,0.287984415106933,1.50945196409294,1.5707963267949,0,base_link,0,0,0,,,,,,,,,,,,
front_left,0.00333941387261516,-5.57118384536537E-07,7.55976911248624E-06,0,0,0,0.99819945675851,0.0202640779969923,1.05551245155584E-08,-5.24141271348052E-08,0.0108492058926044,-9.8229082270973E-08,0.0108492077698124,0,0,0,0,0,0,package://perimeter/meshes/front_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://perimeter/meshes/front_left.STL,,12'' Scooter Wheel-1,Origin_front_left_joint,Axis_front_left_joint,front_left_joint,fixed,0.814986094508032,-0.706424753228115,0.884047593172625,1.02965135568562,-1.5707963267949,0,base_link,0,0,0,,,,,,,,,,,,
middle_right,0.00333941434245594,-5.55634683485628E-07,7.56824179726223E-06,0,0,0,0.998199408437697,0.0202640779720221,1.05618938542168E-08,-5.23565551156118E-08,0.010849206589869,-9.77246766805436E-08,0.010849207042587,0,0,0,0,0,0,package://perimeter/meshes/middle_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://perimeter/meshes/middle_right.STL,,12'' Scooter Wheel-7,Origin_middle_right_joint,Axis_middle_right_joint,middle_right_joint,fixed,0.40858609450803,-0.687374753228116,0.284943731871875,1.31904308416193,1.5707963267949,0,base_link,0,0,0,,,,,,,,,,,,
middle_left,0.00333941390825154,-5.58329391775469E-07,7.56918531474859E-06,0,0,0,0.998199480729409,0.0202640781674506,1.05672687654442E-08,-5.23475704293117E-08,0.0108492066619018,-9.77965269673316E-08,0.0108492071715259,0,0,0,0,0,0,package://perimeter/meshes/middle_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://perimeter/meshes/middle_left.STL,,12'' Scooter Wheel-2,Origin_middle_left_joint,Axis_middle_left_joint,middle_left_joint,fixed,0.408586094508033,-0.687374753228115,0.880815023954765,1.42914347529748,-1.5707963267949,0,base_link,0,0,0,,,,,,,,,,,,
back_right,0.00333940922032361,-5.64363382221655E-07,7.50399331850282E-06,0,0,0,0.998200759362968,0.0202640873819465,1.05121690100644E-08,-5.26007420636874E-08,0.0108492109709707,-9.79070502397233E-08,0.0108492121621709,0,0,0,0,0,0,package://perimeter/meshes/back_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://perimeter/meshes/back_right.STL,,12'' Scooter Wheel-5,Origin_back_right_joint,Axis_back_right_joint,back_right_joint,fixed,-0.161240732602196,-0.706424753228115,0.286646016685696,1.28793762805145,1.5707963267949,0,base_link,0,0,0,,,,,,,,,,,,
back_left,0.00333942850733826,-5.46436916160076E-07,7.53729752556165E-06,0,0,0,0.998200021917946,0.0202640800226295,1.06111732943696E-08,-5.14226724888202E-08,0.0108492067427357,-9.8134392843667E-08,0.0108492077841556,0,0,0,0,0,0,package://perimeter/meshes/back_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://perimeter/meshes/back_left.STL,,12'' Scooter Wheel-3,Origin_back_left_joint,Axis_back_left_joint,back_left_joint,fixed,-0.161240732602204,-0.706424753228114,0.881440572004712,0.925008692977472,-1.5707963267949,0,base_link,0,0,0,,,,,,,,,,,,
right_bar,0.0119407430926679,-0.020860180995475,0.0292305227015792,0,0,0,1.25304845513915,0.000981539426653151,-7.75062532942073E-19,-9.75955244709064E-06,0.0278852624495241,-9.47459492928819E-20,0.0274613502748335,0,0,0,0,0,0,package://perimeter/meshes/right_bar.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://perimeter/meshes/right_bar.STL,,bars-1,Origin_right_bar_to_base_link,Axis_right_bar_to_base_link,right_bar_to_base_link,fixed,0.0760127531441068,-1.04297475322811,0.426219562539441,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
left_bar,0.0119407430926679,-0.0208601809954752,0.0292305227015792,0,0,0,1.25304845513915,0.000981539426653149,-1.9356151667097E-19,-9.75955244709157E-06,0.0278852624495241,3.20551262658519E-20,0.0274613502748335,0,0,0,0,0,0,package://perimeter/meshes/left_bar.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://perimeter/meshes/left_bar.STL,,bars-2,Origin_left_bar_to_base_link,Axis_left_bar_to_base_link,left_bar_to_base_link,fixed,0.0760127531441068,-1.04297475322811,0.776739562539442,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
turret_base,-0.0688974999999999,-0.00975178571428562,0.166055154807967,0,0,0,1.50537433319808,0.00902140767910883,-9.04767231909674E-10,1.11801609991477E-17,0.0412916680934357,-1.36743220330897E-18,0.0329194337740886,0,0,0,0,0,0,package://perimeter/meshes/turret_base.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://perimeter/meshes/turret_base.STL,,turret_base-1,Origin_turret_base_to_left_bar,Axis_turret_base_to_left_bar,turret_base_to_left_bar,fixed,0.0721233224999401,-0.265017680995475,0.0126999999999999,0,0,-1.5707963267949,left_bar,0,0,0,,,,,,,,,,,,
